Member,Party,District,Congress,Resignation Date,Reason,Source,Category,State,Year
Stanley Webster,R,WA-05,68th,1923-05-08,Appointed federal judge,Spokane Spokesman-Review,Other office,WA,1923
Horace Towner,R,IA-08,68th,1923-04-01,Appointed Puerto Rico governor,U.S. Congress,Other office,IA,1923
William Vare,R,PA-01,67th,1923-01-02,Elected to PA State Senate,Reading Times,Other office,PA,1923
Thomas Harrison,D,VA-07,67th,1922-12-15,His election was successfully contested & overturned,U.S. Congress,Election overturned,VA,1922
Frank Millspaugh,R,MO-01,67th,1922-12-05,Appointed state finance commissioner,Jefferson City Post-Tribune,Other office,MO,1922
Truman Newberry,R,MI-SEN,67th,1922-11-18,Faced a vigorous election challenge due to his unethical campaign,U.S. Senate,Other scandals,MI,1922
Joseph Walsh,R,MA-16,67th,1922-08-02,Appointed Massachusetts judge,U.S. Congress,Other office,MA,1922
Frank Reavis,R,NE-01,67th,1922-06-03,Appointed to Harding administration,U.S. Congress,Other office,NE,1922
Alanson Houghton,R,NY-37,67th,1922-02-28,Appointed to Harding administration,U.S. Congress,Other office,NY,1922
William Kenyon,R,IA-SEN,67th,1922-02-24,Appointed federal judge,University of Iowa,Other office,IA,1922
John Peters,R,ME-03,67th,1922-01-02,Appointed federal judge,Maine: An Encyclopedia,Other office,ME,1922
Josiah Wolcott,D,DE-SEN,67th,1921-07-02,Appointed Delaware chancellor,U.S. Congress,Other office,DE,1921
Willfred Lufkin,R,MA-06,67th,1921-06-30,Appointed collector of customs at Port of Boston,U.S. Congress,Other office,MA,1921
James Good,R,IA-05,67th,1921-06-15,Took a job with a Chicago law firm,New York Times,Private sector,IA,1921
Albert Fall,R,NM-SEN,67th,1921-03-04,Appointed to Harding administration,U.S. Congress,Other office,NM,1921
Patrick McLane,D,PA-10,66th,1921-02-25,His election was successfully contested & overturned,U.S. Congress,Election overturned,PA,1921
John Nugent,D,ID-SEN,66th,1921-01-14,Appointed to Wilson administration,Spokane Spokesman-Review,Other office,ID,1921
Warren Harding,R,OH-SEN,66th,1921-01-13,Elected president,U.S. Congress,Other office,OH,1921
Alvan Fuller,R,MA-09,66th,1921-01-05,Elected Massachusetts lieutenant governor,U.S. Congress,Other office,MA,1921
John MacCrate,R,NY-03,66th,1920-12-30,Elected New York Supreme Court justice,U.S. Congress,Other office,NY,1920
Thomas Heflin,D,AL-05,66th,1920-11-01,To focus on his run for Senate,U.S. Congress,Other office,AL,1920
Edmund Platt,R,NY-26,66th,1920-06-07,Appointed to Federal Reserve,U.S. Congress,Other office,NY,1920
Edward Saunders,D,VA-05,66th,1920-02-29,Elected Virginia judge,U.S. Congress,Other office,VA,1920
Hampton Moore,R,PA-03,66th,1920-01-04,Elected Philadelphia mayor,U.S. Congress,Other office,PA,1920
Reuben Haskell,R,NY-10,66th,1919-12-31,Elected Kings County judge,U.S. Congress,Other office,NY,1919
Fiorello La Guardia,R,NY-14,66th,1919-12-31,Elected New York City Board of Aldermen president,U.S. Congress,Other office,NY,1919
Joshua Alexander,D,MO-03,66th,1919-12-15,Appointed to Wilson administration,U.S. Congress,Other office,MO,1919
Edwin Webb,D,NC-09,66th,1919-11-10,Appointed federal judge,U.S. Congress,Other office,NC,1919
John F. Fitzgerald,D,MA-10,66th,1919-10-23,His election was successfully contested & overturned,U.S. Congress,Election overturned,MA,1919
Frank Lever,D,SC-07,66th,1919-08-01,Appointed to Federal Farm Loan Board,U.S. Congress,Other office,SC,1919
James Wilson,D,TX-12,65th,1919-03-03,Appointed federal judge,U.S. Congress,Other office,TX,1919
Charles Carlin,D,VA-08,65th,1919-03-03,Returned to his law practice,Washington Post,Private sector,VA,1919
Zebulon Weaver,D,NC-10,65th,1919-03-01,His election was successfully contested & overturned,U.S. Congress,Election overturned,NC,1919
Harry Dale,D,NY-04,65th,1919-01-06,Appointed New York judge,U.S. Congress,Other office,NY,1919
John R.K. Scott,R,PA-AL,65th,1919-01-05,"Unclear, but sounds like he was elected to PA State House",Pennsylvania House of Representatives,Other office,PA,1919
Frederick Mulkey,R,OR-SEN,65th,1918-12-17,Resigned early to give successor seniority (was always meant as a caretaker),Oregon Blue Book,Left early,OR,1918
Carter Glass,D,VA-06,65th,1918-12-16,Appointed to Wilson administration,U.S. Congress,Other office,VA,1918
