Member,Party,District,Congress,Resignation Date,Reason,Source,Category,State,Year
Nathan Deal,R,GA-09,111th,2010-03-21,To focus on his run for governor; ethics investigation,CREW,,GA,2010
Eric Massa,D,NY-29,111th,2010-03-08,Sexual harassment/groping (same-sex),The Week,Unwanted sexual contact,NY,2010
Neil Abercrombie,D,HI-01,111th,2010-02-28,To focus on his run for governor,NPR,Other office,HI,2010
Robert Wexler,D,FL-19,111th,2010-01-03,Took a job with Middle East think tank,Lexology,Private sector,FL,2010
John McHugh,R,NY-23,111th,2009-09-21,Appointed to Obama administration,New York Times,Other office,NY,2009
Mel Martinez,R, FL-SEN,111th,2009-09-09,"""To move on,"" spend time with family; later joined lobbying firm",New York Times,, F,2009
Ellen Tauscher,D,CA-10,111th,2009-06-26,Appointed to Obama administration,KNTV,Other office,CA,2009
Hilda Solis,D,CA-32,111th,2009-02-24,Appointed to Obama administration,Associated Press,Other office,CA,2009
Kirsten Gillibrand,D,NY-20,111th,2009-01-26,Appointed U.S. senator,New York Daily News,Other office,NY,2009
Hillary Clinton,D,NY-SEN,111th,2009-01-21,Appointed to Obama administration,CNN,Other office,NY,2009
Ken Salazar,D,CO-SEN,111th,2009-01-20,Appointed to Obama administration,Denver Post,Other office,CO,2009
Joe Biden,D,DE-SEN,111th,2009-01-15,Elected vice president,CNN,Other office,DE,2009
Rahm Emanuel,D,IL-05,110th,2009-01-02,Appointed to Obama administration,CNN,Other office,IL,2009
Tom Davis,R,VA-11,110th,2008-11-24,Took a job with Deloitte,Washington Post,Private sector,VA,2008
Barack Obama,D,IL-SEN,110th,2008-11-16,Elected president,CNN,Other office,IL,2008
Albert Wynn,D,MD-04,110th,2008-05-31,Took a job with a law firm after losing primary,Washington Post,,MD,2008
Richard Baker,R,LA-06,110th,2008-02-02,Took a job with the Managed Funds Association,New Orleans Times-Picayune,Private sector,LA,2008
Bobby Jindal,R,LA-01,110th,2008-01-14,Elected Louisiana governor,Reuters,Other office,LA,2008
Roger Wicker,R,MS-01,110th,2007-12-31,Appointed U.S. senator,The Guardian,Other office,MS,2007
Trent Lott,R,MS-SEN,110th,2007-12-18,"""Time left to do something else""; founded a lobbying firm",New York Times,Private sector,MS,2007
Dennis Hastert,R,IL-14,110th,2007-11-26,"No reason given, but had lost the speaker's gavel",FOX News,Other,IL,2007
Marty Meehan,D,MA-05,110th,2007-07-01,Took a job with University of Massachusetts,Associated Press,Private sector,MA,2007
Bob Ney,R,OH-18,109th,2006-11-03,Pleaded guilty to Abramoff influence-peddling scandal,Associated Press,Other scandals,OH,2006
Mark Foley,R,FL-16,109th,2006-09-29,Sexting with underage pages (same-sex),Washington Post,Unwanted sexual contact,FL,2006
Tom DeLay,R,TX-22,109th,2006-06-09,Campaign finance laundering & Abramoff scandal involvement,New York Times,Other scandals,TX,2006
Jon Corzine,D,NJ-SEN,109th,2006-01-17,Elected New Jersey governor,U.S. Congress,Other office,NJ,2006
Bob Menendez,D,NJ-13,109th,2006-01-16,Appointed U.S. senator,New York Times,Other office,NJ,2006
Duke Cunningham,R,CA-50,109th,2005-12-01,Bribery and tax evasion,San Diego Union-Tribune,Other scandals,CA,2005
Christopher Cox,R,CA-48,109th,2005-08-02,Appointed to Bush administration,Securities & Exchange Commission,Other office,CA,2005
Rob Portman,R,OH-02,109th,2005-04-29,Appointed to Bush administration,New York Times,Other office,OH,2005
Porter Goss,R,FL-14,108th,2004-09-23,Appointed to Bush administration,CQ Almanac,Other office,FL,2004
Doug Bereuter,R,NE-01,108th,2004-08-31,Took a job with the Asia Foundation,CQ Almanac,Private sector,NE,2004
Frank Ballance,D,NC-01,108th,2004-06-11,Ill health; fraud and money laundering,Associated Press,,NC,2004
Bill Janklow,R,SD-AL,108th,2004-01-20,Convicted of manslaughter for a fatal car accident,Minnesota Public Radio,Other scandals,SD,2004
Ernie Fletcher,R,KY-06,108th,2003-12-08,Elected Kentucky governor,Fletcher/Pence Inaugural,Other office,KY,2003
Larry Combest,R,TX-19,108th,2003-05-31,"Wife lost DC-area job, wanted to spend more time with her",Plainview Daily Herald,Health/family,TX,2003
Frank Murkowski,R,AK-SEN,107th,2002-12-02,Elected Alaska governor,U.S. Congress,Other office,AK,2002
Tony Hall,D,OH-03,107th,2002-09-09,Appointed to Bush administration,New York Times,Other office,OH,2002
James Traficant,D,OH-17,107th,2002-07-24,"Convicted of bribery, tax evasion, and racketeering",CNN,Other scandals,OH,2002
Steve Largent,R,OK-01,107th,2002-02-15,To focus on his run for governor,The Oklahoman,Other office,OK,2002
Joe Scarborough,R,FL-01,107th,2001-09-05,To spend more time with his sons,Northwest Florida Daily News,Health/family,FL,2001
Asa Hutchinson,R,AR-03,107th,2001-08-06,Appointed to Bush administration,Log Cabin Democrat,Other office,AR,2001
Bud Shuster,R,PA-09,107th,2001-02-05,"Ethics rebuke; ""health scares""",ABC News,,PA,2001
Bob Livingston,R,LA-01,106th,1999-03-01,Extramarital affairs,New York Times,Consensual sex scandals,LA,1999
Newt Gingrich,R,GA-06,106th,1999-01-03,Faced caucus revolt after disappointing midterm,New York Times,Other,GA,1999
Ron Dellums,D,CA-09,105th,1998-02-06,"""To do other things""; ended up consulting for healthcare company",Washington Post,Private sector,CA,1998
Floyd Flake,D,NY-06,105th,1997-11-17,To focus on his job as church pastor,New York Times,Private sector,NY,1997
Thomas Foglietta,D,PA-01,105th,1997-11-11,Appointed to Clinton administration,Associated Press,Other office,PA,1997
Susan Molinari,R,NY-13,105th,1997-08-02,Took a job with CBS,CNN,Private sector,NY,1997
Bill Richardson,D,NM-03,105th,1997-02-13,Appointed to Clinton administration,San Francisco Chronicle,Other office,NM,1997
Ray Thornton,D,AR-02,104th,1997-01-01,Elected Arkansas Supreme Court justice,U.S. Congress,Other office,AR,1997
Sam Brownback,R,KS-02,104th,1996-11-07,Elected U.S. senator,U.S. House of Representatives,Other office,KS,1996
Charlie Wilson,D,TX-02,104th,1996-10-08,Probably to start clock on lobbyist waiting period,Longview News-Journal,Private sector,TX,1996
Bob Dole,R,KS-SEN,104th,1996-06-11,To focus on his run for president,U.S. Congress,Other office,KS,1996
Kweisi Mfume,D,MD-07,104th,1996-02-18,Took a job with the NAACP,Washington Post,Private sector,MD,1996
Ron Wyden,D,OR-03,104th,1996-02-05,Elected U.S. senator,U.S. Congress,Other office,OR,1996
Walter Tucker III,D,CA-37,104th,1995-12-15,Convicted of extortion and tax evasion,New York Times,Other scandals,CA,1995
Norman Mineta,D,CA-15,104th,1995-10-10,Took a job with Lockheed Martin,Los Angeles Times,Private sector,CA,1995
Mel Reynolds,D,IL-02,104th,1995-10-01,Convicted of sex with 16-year-old girl,New York Times,Unwanted sexual contact,IL,1995
Bob Packwood,R,OR-SEN,104th,1995-10-01,Sexual harassment/assault,NPR,Unwanted sexual contact,OR,1995
David Boren,D,OK-SEN,103rd,1994-11-15,Took a job with University of Oklahoma,Los Angeles Times,Private sector,OK,1994
Jim Inhofe,R,OK-01,103rd,1994-11-15,Elected U.S. senator,U.S. Congress,Other office,OK,1994
Glenn English,D,OK-06,103rd,1994-01-07,Took a job with National Rural Electric Cooperative Association,UPI,Private sector,OK,1994
Bill Gradison,R,OH-02,103rd,1993-01-31,Took a job with Health Insurance Association of America,Science Corruption,Private sector,OH,1993
Mike Espy,D,MS-02,103rd,1993-01-22,Appointed to Clinton administration,Washington Post,Other office,MS,1993
Leon Panetta,D,CA-17,103rd,1993-01-21,Appointed to Clinton administration,Washington Post,Other office,CA,1993
Lloyd Bentsen,D,TX-SEN,103rd,1993-01-20,Appointed to Clinton administration,New York Times,Other office,TX,1993
Les Aspin,D,WI-01,103rd,1993-01-20,Appointed to Clinton administration,U.S. Congress,Other office,WI,1993
Al Gore Jr.,D,TN-SEN,102nd,1993-01-02,Elected vice president,CQ Almanac,Other office,TN,1993
Jocelyn Burdick,D,ND-SEN,102nd,1992-12-14,Appointment was expiring; resigned to let successor start early,New York Observer,Left early,ND,1992
Kent Conrad,D,ND-SEN,102nd,1992-12-14,Elected to North Dakota's other U.S. Senate seat,U.S. Senate,Other office,ND,1992
French Slaughter,R,VA-07,102nd,1991-11-04,Series of strokes,Washington Post,Health/family,VA,1991
William Gray III,D,PA-02,102nd,1991-09-11,Took a job with United Negro College Fund,Los Angeles Times,Private sector,PA,1991
Mo Udall,D,AZ-02,102nd,1991-05-04,Parkinson's disease,Baltimore Sun,Health/family,AZ,1991
Steve Bartlett,R,TX-03,102nd,1991-03-11,To focus on his run for Dallas mayor,D Magazine,Other office,TX,1991
Ed Madigan,R,IL-15,102nd,1991-03-08,Appointed to Bush administration,U.S. Congress,Other office,IL,1991
Pete Wilson,R,CA-SEN,102nd,1991-01-07,Elected California governor,U.S. Congress,Other office,CA,1991
Bob Smith,R,NH-01,101st,1990-12-07,Appointed U.S. senator,U.S. Congress,Other office,NH,1990
Gordon Humphrey,R,NH-SEN,101st,1990-12-04,Elected New Hampshire state senator,UPI,Other office,NH,1990
Daniel Akaka,D,HI-02,101st,1990-05-16,Appointed U.S. senator,U.S. Congress,Other office,HI,1990
Jim Florio,D,NJ-01,101st,1990-01-16,Elected New Jersey governor,U.S. House of Representatives,Other office,NJ,1990
Robert Garcia,D,NY-18,101st,1990-01-07,Convicted of extortion,New York Times,Other scandals,NY,1990
Guy Molinari,R,NY-14,101st,1989-12-31,Elected Staten Island borough president,U.S. House of Representatives,Other office,NY,1989
Jim Wright,D,TX-12,101st,1989-06-30,Ethics investigation into personal financial gain,Washington Post,Other scandals,TX,1989
Tony Coelho,D,CA-15,101st,1989-06-15,Personal finances under investigation,New York Times,Other scandals,CA,1989
Dick Cheney,R,WY-AL,101st,1989-03-17,Appointed to Bush administration,U.S. Congress,Other office,WY,1989
Dan Quayle,R,IN-SEN,101st,1989-01-03,Elected vice president,U.S. Congress,Other office,IN,1989
Dan Coats,R,IN-04,101st,1989-01-03,Appointed U.S. senator,U.S. Congress,Other office,IN,1989
Mario Biaggi,D,NY-19,100th,1988-08-08,Convicted twice of corruption,New York Times,Other scandals,NY,1988
Buddy Roemer,D,LA-04,100th,1988-03-14,Elected Louisiana governor,New York Times,Other office,LA,1988
Bill Boner,D,TN-05,100th,1987-10-05,Elected Nashville mayor,U.S. House of Representatives,Other office,TN,1987
Charles Whitley,D,NC-03,99th,1986-12-31,"Was retiring & left early, probably to take a job with the Tobacco Institute",Science Corruption,Private sector,NC,1986
Jim Broyhill,R,NC-10,99th,1986-07-13,Appointed U.S. senator,U.S. Congress,Other office,NC,1986
Cecil Heftel,D,HI-01,99th,1986-07-11,To focus on his run for governor,UPI,Other office,HI,1986
Sam Hall,D,TX-01,99th,1985-05-27,Appointed federal judge,UPI,Other office,TX,1985
Paul Tsongas,D,MA-SEN,98th,1985-01-02,Retired due to ill health; resigned early to give successor seniority,WBUR,,MA,1985
Tom Corcoran,R,IL-14,98th,1984-11-28,Recess-appointed to Synthetic Fuels Corporation board,Nexis search,Private sector,IL,1984
Harold Washington,D,IL-01,98th,1983-04-30,Elected Chicago mayor,U.S. House of Representatives,Other office,IL,1983
Phil Gramm,D,TX-06,98th,1983-01-05,Dem Party ostracized him; resigned to seek seat as Republican,New York Times,Other,TX,1983
Nicholas Brady,R,NJ-SEN,97th,1982-12-26,Appointment was expiring; resigned to let successor start early,New York Times,Left early,NJ,1982
Fred Richmond,D,NY-14,97th,1982-08-25,"Tax evasion, drug possession, campaign-finance irregularities",UPI,Other scandals,NY,1982
George Danielson,D,CA-30,97th,1982-03-09,Appointed California appellate judge,U.S. House of Representatives,Other office,CA,1982
Raymond Lederer,D,PA-03,97th,1981-04-29,Bribery and conspiracy in Abscam scandal,Associated Press,Other scandals,PA,1981
Jon Hinson,R,MS-04,97th,1981-04-13,Extramarital affair (same-sex),Zimbio,Consensual sex scandals,MS,1981
Pete Williams,D,NJ-SEN,97th,1981-03-11,Bribery and conspiracy in Abscam scandal,New York Times,Other scandals,NJ,1981
Gladys Spellman,D,MD-05,97th,1981-02-24,Brain-dead after heart attack,New York Times,Health/family,MD,1981
David Stockman,R,MI-04,97th,1981-01-27,Appointed to Reagan administration,The Atlantic,Other office,MI,1981
Donald Stewart,D,AL-SEN,96th,1981-01-01,Lost reelection bid; resigned to let successor start early,UPI,Left early,AL,1981
Dick Stone,D,FL-SEN,96th,1980-12-31,Lost reelection bid; resigned to let successor start early,U.S. Congress,Left early,FL,1980
John Durkin,D,NH-SEN,96th,1980-12-29,Lost reelection bid; resigned to let successor start early,New Hampshire Union Leader,Left early,NH,1980
Frank Thompson,D,NJ-04,96th,1980-12-29,Bribery and conspiracy in Abscam scandal,New York Times,Other scandals,NJ,1980
John Jenrette,D,SC-06,96th,1980-12-10,Bribery and conspiracy in Abscam scandal,UPI,Other scandals,SC,1980
Michael Myers,D,PA-01,96th,1980-10-02,Bribery in Abscam scandal,UPI,Other scandals,PA,1980
Charles Diggs Jr.,D,MI-13,96th,1980-06-03,Censured for mail fraud and kickbacks from staff,U.S. House of Representatives,Other scandals,MI,1980
Ed Muskie,D,ME-SEN,96th,1980-05-07,Appointed to Carter administration,GovTrack,Other office,ME,1980
Dave Treen,R,LA-03,96th,1980-03-10,Elected Louisiana governor,U.S. House of Representatives,Other office,LA,1980
Dan Flood,D,PA-11,96th,1980-01-31,Bribery and conspiracy,UPI,Other scandals,PA,1980
Abner Mikva,D,IL-10,96th,1979-09-26,Appointed federal judge,U.S. House of Representatives,Other office,IL,1979
William Scott,R,VA-SEN,95th,1979-01-01,Retired; resigned early to give successor seniority,Washington Post,Left early,VA,1979
John Moss,D,CA-03,95th,1978-12-31,Retired; probably resigned early to receive higher pension?,Los Angeles Times,Left early,CA,1978
John McFall,D,CA-14,95th,1978-12-31,Lost reelection; might've left early to receive higher pension or lobby,Washington Post,Left early,CA,1978
Del Clawson,R,CA-33,95th,1978-12-31,Retired; probably resigned early to receive higher pension?,Washington Post,Left early,CA,1978
Joe Skubitz,R,KS-05,95th,1978-12-31,Retired; resigned early to give successor seniority,Salina Journal,Left early,KS,1978
Al Cederberg,R,MI-10,95th,1978-12-31,Lost reelection; probably resigned early to receive higher pension?,U.S. House of Representatives,Left early,MI,1978
James Delaney,D,NY-09,95th,1978-12-31,Retired; probably resigned early to receive higher pension?,U.S. House of Representatives,Left early,NY,1978
Olin Teague,D,TX-06,95th,1978-12-31,Retired; probably resigned early to receive higher pension?,U.S. House of Representatives,Left early,TX,1978
Bob Poage,D,TX-11,95th,1978-12-31,Retired; probably resigned early to receive higher pension?,U.S. House of Representatives,Left early,TX,1978
Omar Burleson,D,TX-17,95th,1978-12-31,Retired; probably resigned early to receive higher pension?,U.S. House of Representatives,Left early,TX,1978
Clifford Hansen,R,WY-SEN,95th,1978-12-31,Retired; resigned early to give successor seniority,Associated Press,Left early,WY,1978
Teno Roncalio,D,WY-AL,95th,1978-12-30,Retired; probably resigned early to receive higher pension?,U.S. House of Representatives,Left early,WY,1978
Wendell Anderson,D,MN-SEN,95th,1978-12-29,Lost reelection bid; resigned to let successor start early,U.S. Congress,Left early,MN,1978
James Eastland,D,MS-SEN,95th,1978-12-27,Retired; resigned early to give successor seniority,U.S. Senate,Left early,MS,1978
Thad Cochran,R,MS-04,95th,1978-12-26,Appointed U.S. senator,U.S. Congress,Other office,MS,1978
James Pearson,R,KS-SEN,95th,1978-12-23,Retired; resigned early to give successor seniority,Lawrence Journal-World,Left early,KS,1978
Paul Hatfield,D,MT-SEN,95th,1978-12-14,Appointment was expiring; resigned to let successor start early,U.S. Congress,Left early,MT,1978
Max Baucus,D,MT-01,95th,1978-12-14,Appointed U.S. senator,U.S. Congress,Other office,MT,1978
Joseph LeFante,D,NJ-14,95th,1978-12-14,Dem machine boss told him to,Washington Post,Other,NJ,1978
Maryon Allen,D,AL-SEN,95th,1978-11-07,Appointment was expiring; resigned to let successor start early,U.S. Congress,Left early,AL,1978
Muriel Humphrey,D,MN-SEN,95th,1978-11-07,Appointment was expiring; resigned to let successor start early,U.S. Congress,Left early,MN,1978
Ed Koch,D,NY-18,95th,1977-12-31,Elected New York City mayor,New York Times,Other office,NY,1977
Herman Badillo,D,NY-21,95th,1977-12-31,Appointed New York City deputy mayor,U.S. House of Representatives,Other office,NY,1977
Richard Tonry,D,LA-01,95th,1977-05-04,Federal inquiry into voter fraud & illegal campaign contributions,Roll Call,Other scandals,LA,1977
Andrew Young,D,GA-05,95th,1977-01-29,Appointed to Carter administration,Georgia Encyclopedia,Other office,GA,1977
Bob Bergland,D,MN-07,95th,1977-01-22,Appointed to Carter administration,New York Times,Other office,MN,1977
Brock Adams,D,WA-07,95th,1977-01-22,Appointed to Carter administration,Washington Post,Other office,WA,1977
John Tunney,D,CA-SEN,94th,1977-01-01,Lost reelection bid; resigned to let successor start early,UPI,Left early,CA,1977
Don Riegle Jr.,D,MI-07,94th,1976-12-30,Appointed U.S. senator,U.S. Congress,Other office,MI,1976
Walter Mondale,D,MN-SEN,94th,1976-12-30,Elected vice president,U.S. Congress,Other office,MN,1976
Robert Taft Jr.,R,OH-SEN,94th,1976-12-28,Lost reelection bid; resigned to let successor start early,Coshocton Tribune,Left early,OH,1976
John Pastore,D,RI-SEN,94th,1976-12-28,Retired; resigned early to give successor seniority,Arizona Republic,Left early,RI,1976
Stuart Symington,D,MO-SEN,94th,1976-12-27,Retired; resigned early to give successor seniority,Jefferson City Post-Tribune,Left early,MO,1976
Roman Hruska,R,NE-SEN,94th,1976-12-27,Retired; resigned early to give successor seniority,Lincoln Star,Left early,NE,1976
Wayne Hays,D,OH-18,94th,1976-09-01,Extramarital affair/paying his mistress a salary,New York Times,Consensual sex scandals,OH,1976
Bob Casey,D,TX-22,94th,1976-01-22,Appointed to Ford administration,U.S. Congress,Other office,TX,1976
James Hastings,R,NY-39,94th,1976-01-20,Took a job with Associated Industries of New York,Milwaukee Journal,Private sector,NY,1976
Norris Cotton,R,NH-SEN,94th,1975-09-18,To yield to the winner of the controversial NH-SEN re-vote,U.S. Congress,Other,NH,1975
Richard Fulton,D,TN-05,94th,1975-08-14,Elected Nashville mayor,U.S. Congress,Other office,TN,1975
J. William Fulbright,D,AR-SEN,93rd,1974-12-31,Lost reelection bid; quit to go on vacation & receive higher pension,New York Times,Left early,AR,1974
Charles Gubser,R,CA-10,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,CA,1974
Chet Holifield,D,CA-19,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,CA,1974
Craig Hosmer,R,CA-32,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,CA,1974
Richard Hanna,D,CA-34,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,Los Angeles Times,Left early,CA,1974
Ed Gurney,R,FL-SEN,93rd,1974-12-31,"Retired; might've left early for pension, seniority, or indictment",Orlando Sentinel,,FL,1974
Leslie Arends,R,IL-15,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,IL,1974
Ken Gray,D,IL-24,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,IL,1974
Frank Stubblefield,D,KY-01,93rd,1974-12-31,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,Left early,KY,1974
Harold Donohue,D,MA-03,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,MA,1974
Charles Chamberlain,R,MI-06,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,MI,1974
Martha Griffiths,D,MI-17,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,MI,1974
Ancher Nelsen,R,MN-02,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,MN,1974
John Blatnik,D,MN-08,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,MN,1974
David Martin,R,NE-03,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,NE,1974
Norris Cotton,R,NH-SEN,93rd,1974-12-31,Retired; might've left early for pension or to force R appointment in controversial NH-SEN,U.S. Senate,,NH,1974
Louis Wyman,R,NH-01,93rd,1974-12-31,Appointed U.S. senator,U.S. Congress,Other office,NH,1974
William Widnall,R,NJ-07,93rd,1974-12-31,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,Left early,NJ,1974
John Rooney,D,NY-14,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,NY,1974
Hugh Carey,D,NY-15,93rd,1974-12-31,Elected New York governor,U.S. Congress,Other office,NY,1974
Carleton King,R,NY-29,93rd,1974-12-31,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,Left early,NY,1974
Thaddeus Dulski,D,NY-37,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,NY,1974
Sam Ervin,D,NC-SEN,93rd,1974-12-31,Retired; resigned early to receive higher pension,Burlington Daily Times-News,Left early,NC,1974
William Minshall,R,OH-23,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,OH,1974
Edith Green,D,OR-03,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,OR,1974
Frank Clark,D,PA-25,93rd,1974-12-31,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,Left early,PA,1974
W.J. Bryan Dorn,D,SC-03,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,SC,1974
Tom Gettys,D,SC-05,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,SC,1974
O.C. Fisher,D,TX-21,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,TX,1974
Joel Broyhill,R,VA-10,93rd,1974-12-31,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,Left early,VA,1974
Julia Butler Hansen,D,WA-03,93rd,1974-12-31,Retired; probably resigned early to receive higher pension?,U.S. Congress,Left early,WA,1974
Vernon Thomson,R,WI-03,93rd,1974-12-31,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,Left early,WI,1974
Glenn Davis,R,WI-09,93rd,1974-12-31,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,Left early,WI,1974
Marlow Cook,R,KY-SEN,93rd,1974-12-27,Lost reelection bid; resigned to let successor start early,"""Kentucky's Governors""",Left early,KY,1974
Howard Metzenbaum,D,OH-SEN,93rd,1974-12-23,Appointment was expiring; resigned to let successor start early,Logan Daily News,Left early,OH,1974
Wallace Bennett,R,UT-SEN,93rd,1974-12-20,Retired; resigned early to give successor seniority,New York Times,Left early,UT,1974
Alan Bible,D,NV-SEN,93rd,1974-12-17,Retired; resigned early to give successor seniority,Las Vegas Review-Journal,Left early,NV,1974
Bill Mailliard,R,CA-06,93rd,1974-03-05,Appointed to Nixon administration,New York Times,Other office,CA,1974
James Harvey,R,MI-08,93rd,1974-01-31,Appointed federal judge,Ballotpedia,Other office,MI,1974
Bill Saxbe,R,OH-SEN,93rd,1974-01-03,Appointed to Nixon administration,American Presidency Project,Other office,OH,1974
William Keating,R,OH-01,93rd,1974-01-03,Took a job with Cincinnati Enquirer,Toledo Blade,Private sector,OH,1974
Gerald Ford,R,MI-05,93rd,1973-12-06,Appointed vice president,U.S. Congress,Other office,MI,1973
Elaine Edwards,D,LA-SEN,92nd,1972-11-13,Appointment was expiring; resigned to let successor start early,Milwaukee Journal,Left early,LA,1972
Dick Poff,R,VA-06,92nd,1972-08-29,Appointed to Virginia Supreme Court,Washington Post,Other office,VA,1972
Edwin Edwards,D,LA-07,92nd,1972-05-09,Elected Louisiana governor,U.S. Congress,Other office,LA,1972
Bradford Morse,R,MA-05,92nd,1972-05-01,Took a job with United Nations,Los Angeles Times,Private sector,MA,1972
Charlotte Reid,R,IL-15,92nd,1971-10-07,Appointed to Nixon administration,U.S. House of Representatives,Other office,IL,1971
Robert Stafford,R,VT-AL,92nd,1971-09-16,Appointed U.S. senator,U.S. Congress,Other office,VT,1971
Rogers Morton,R,MD-01,92nd,1971-01-29,Appointed to Nixon administration,Washington Post,Other office,MD,1971
George Murphy,R,CA-SEN,91st,1971-01-02,Lost reelection bid & left early; unclear why,New York Times,Left early,CA,1971
John Tunney,D,CA-38,91st,1971-01-02,Appointed U.S. senator,U.S. Congress,Other office,CA,1971
John Williams,R,DE-SEN,91st,1970-12-31,Retired; resigned early to give successor seniority,Delaware Historical Society,Left early,DE,1970
William Roth,R,DE-AL,91st,1970-12-31,Appointed U.S. senator,Delaware Historical Society,Other office,DE,1970
Bill Cahill,R,NJ-06,91st,1970-01-19,Elected New Jersey governor,U.S. Congress,Other office,NJ,1970
Charles Joelson,D,NJ-08,91st,1969-09-04,Appointed New Jersey superior court judge,U.S. Congress,Other office,NJ,1969
Donald Rumsfeld,R,IL-13,91st,1969-05-25,Appointed to Nixon administration,White House,Other office,IL,1969
James Battin,R,MT-02,91st,1969-02-27,Appointed federal judge,U.S. Congress,Other office,MT,1969
Ed Reinecke,R,CA-27,91st,1969-01-21,Appointed California lieutenant governor,Lieutenant Governor Blog,Other office,CA,1969
Melvin Laird,R,WI-07,91st,1969-01-21,Appointed to Nixon administration,U.S. Congress,Other office,WI,1969
Paul Fino,R,NY-24,90th,1968-12-31,Elected New York Supreme Court justice,U.S. Congress,Other office,NY,1968
Edward Long,D,MO-SEN,90th,1968-12-27,Lost reelection bid; resigned to let successor start early,Missourinet,Left early,MO,1968
Thruston Morton,R,KY-SEN,90th,1968-12-16,Retired; resigned early to give successor seniority,Orlando Sentinel,Left early,KY,1968
John Bell Williams,D,MS-03,90th,1968-01-16,Elected Mississippi governor,U.S. Congress,Other office,MS,1968
Abraham Multer,D,NY-13,90th,1967-12-31,Elected New York Supreme Court justice,U.S. Congress,Other office,NY,1967
Ralph Rivers,D,AK-AL,89th,1966-12-30,Lost reelection; resigned early to receive higher pension,Indianapolis Star,Left early,AK,1966
Winfield Denton,D,IN-08,89th,1966-12-30,Lost reelection; resigned early to receive higher pension,Rushville Republican,Left early,IN,1966
Ralph Harvey,R,IN-10,89th,1966-12-30,Lost reelection; resigned early to receive higher pension,Indianapolis Star,Left early,IN,1966
Leo O'Brien,D,NY-29,89th,1966-12-30,Retired; resigned early to receive higher pension,Indianapolis Star,Left early,NY,1966
Harold Cooley,D,NC-04,89th,1966-12-30,Lost reelection; resigned early to receive higher pension,Indianapolis Star,Left early,NC,1966
Robert Secrest,D,OH-15,89th,1966-12-30,Lost reelection; resigned early to receive higher pension,Indianapolis Star,Left early,OH,1966
Paul Dague,R,PA-09,89th,1966-12-30,Retired; resigned early to receive higher pension,Indianapolis Star,Left early,PA,1966
John Kunkel,R,PA-16,89th,1966-12-30,Retired; resigned early to receive higher pension,Indianapolis Star,Left early,PA,1966
Tom Murray,D,TN-07,89th,1966-12-30,Lost reelection; resigned early to receive higher pension,Indianapolis Star,Left early,TN,1966
Clark Thompson,D,TX-09,89th,1966-12-30,Retired; resigned early to receive higher pension,Indianapolis Star,Left early,TX,1966
A. Willis Robertson,D,VA-SEN,89th,1966-12-30,Lost reelection bid; resigned to let successor start early,Indianapolis Star,Left early,VA,1966
Robert Griffin,R,MI-09,89th,1966-05-10,Appointed U.S. senator,U.S. Congress,Other office,MI,1966
Oren Harris,D,AR-04,89th,1966-02-02,Appointed federal judge,U.S. Congress,Other office,AR,1966
John Lindsay,R,NY-17,89th,1965-12-31,Elected New York City mayor,U.S. Congress,Other office,NY,1965
Harry Byrd Sr.,D,VA-SEN,89th,1965-11-10,Health reasons,Washington Post,Health/family,VA,1965
James Roosevelt,D,CA-26,89th,1965-09-30,Appointed to Johnson administration,U.S. Congress,Other office,CA,1965
