,Consensual sex scandals,Election overturned,Health/family,Left early,Military service,Other,Other office,Other scandals,Private sector,Unwanted sexual contact
0,0.0,0.0,1901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1902.0,0.0,0.0,0.0
3,0.0,1903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1903.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1903.0,0.0
6,0.0,1904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,1906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,1906.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1907.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,1909.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,1910.0,0.0,0.0,0.0
12,0.0,0.0,1911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,1911.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,1912.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,1913.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,1914.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1914.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,1915.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,1916.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,1917.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1917.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,1918.0,0.0,0.0,0.0
23,0.0,1919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
