,Consensual sex scandals,Election overturned,Health/family,Left early,Military service,Other,Other office,Other scandals,Private sector,Unwanted sexual contact
74,0.0,0.0,0.0,1954.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,1954.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,1956.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,1956.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,1957.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,1958.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,1959.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,1961.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961.0,0.0
84,0.0,0.0,0.0,1962.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,1962.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,1963.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,1964.0,0.0,0.0,0.0
89,0.0,0.0,1965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,1965.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,1965.0,0.0,0.0,0.0
92,0.0,0.0,0.0,1966.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,1966.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,1967.0,0.0,0.0,0.0
95,0.0,0.0,0.0,1968.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,1968.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,1969.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,1971.0,0.0,0.0,0.0
99,0.0,0.0,0.0,1972.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,1972.0,0.0,0.0,0.0
101,0.0,0.0,0.0,1974.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0,1974.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,1975.0,0.0,0.0,0.0
104,1976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,1976.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0,1976.0,0.0,0.0,0.0
107,0.0,0.0,0.0,1977.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0,1977.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977.0,0.0,0.0
110,0.0,0.0,0.0,1978.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0,1978.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,1978.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0,1979.0,0.0,0.0,0.0
114,0.0,0.0,0.0,1980.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,1980.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.0,0.0,0.0
117,0.0,0.0,1981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,1981.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,1982.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0,1983.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0,1983.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0,1985.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,1986.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986.0,0.0
127,0.0,0.0,0.0,0.0,0.0,0.0,1987.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0,1988.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1988.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989.0,0.0,0.0
131,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,0.0,0.0
133,0.0,0.0,1991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991.0,0.0
135,0.0,0.0,0.0,1992.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0,0.0,0.0,1992.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0,0.0,0.0,1993.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994.0,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.0,0.0,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.0,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.0
142,0.0,0.0,0.0,0.0,0.0,0.0,1996.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0,1997.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997.0,0.0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998.0,0.0
147,0.0,0.0,0.0,0.0,0.0,0.0,2002.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002.0,0.0,0.0
149,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,0.0
151,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0,0.0
153,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,0.0,0.0,0.0
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,0.0
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0
156,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0
159,0.0,0.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,0.0,0.0,0.0
161,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,0.0,0.0,0.0
162,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,0.0,0.0,0.0
163,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.0,0.0,0.0
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.0,0.0
165,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0
