,Member,Party,Year,State,Reason,Resignation Date
469,Thomas Williams,R,1929,IL,Appointed federal judge,1929-11-11
470,Walter Newton,R,1929,MN,Appointed to Hoover administration,1929-06-30
471,Charles Curtis,R,1929,KS,Elected vice president,1929-03-03
472,Clarence MacGregor,R,1928,NY,Elected New York Supreme Court justice,1928-12-31
473,Theodore Burton,R,1928,OH,Elected U.S. senator,1928-12-15
474,Coleman du Pont,R,1928,DE,Ill health,1928-12-09
475,William Bowling,D,1928,AL,Appointed Alabama judge,1928-08-16
476,Nicholas Sinnott,R,1928,OR,Appointed federal judge,1928-05-31
477,William Green,R,1928,IA,Appointed federal judge,1928-03-31
478,James Hazlett,R,1927,PA,"Hard to find, but probably elected Philadelphia recorder of deeds?",1927-10-20
479,Harry Hawes,D,1926,MO,To focus on his run for Senate,1926-10-15
480,Smith Brookhart,R,1926,IA,His election was successfully contested & overturned,1926-04-12
481,John Langley,R,1926,KY,Convicted of violating Prohibition laws,1926-01-11
482,George Young,R,1924,ND,Appointed federal judge,1924-09-02
483,William Graham,R,1924,IL,Appointed federal judge,1924-06-07
484,William Fields,D,1923,KY,Elected Kentucky governor,1923-12-11
485,Porter Dale,R,1923,VT,To focus on his run for Senate,1923-08-11
486,Stanley Webster,R,1923,WA,Appointed federal judge,1923-05-08
487,Horace Towner,R,1923,IA,Appointed Puerto Rico governor,1923-04-01
488,William Vare,R,1923,PA,Elected to PA State Senate,1923-01-02
489,Thomas Harrison,D,1922,VA,His election was successfully contested & overturned,1922-12-15
490,Frank Millspaugh,R,1922,MO,Appointed state finance commissioner,1922-12-05
491,Truman Newberry,R,1922,MI,Faced a vigorous election challenge due to his unethical campaign,1922-11-18
492,Joseph Walsh,R,1922,MA,Appointed Massachusetts judge,1922-08-02
493,Frank Reavis,R,1922,NE,Appointed to Harding administration,1922-06-03
494,Alanson Houghton,R,1922,NY,Appointed to Harding administration,1922-02-28
495,William Kenyon,R,1922,IA,Appointed federal judge,1922-02-24
496,John Peters,R,1922,ME,Appointed federal judge,1922-01-02
497,Josiah Wolcott,D,1921,DE,Appointed Delaware chancellor,1921-07-02
498,Willfred Lufkin,R,1921,MA,Appointed collector of customs at Port of Boston,1921-06-30
499,James Good,R,1921,IA,Took a job with a Chicago law firm,1921-06-15
500,Albert Fall,R,1921,NM,Appointed to Harding administration,1921-03-04
501,Patrick McLane,D,1921,PA,His election was successfully contested & overturned,1921-02-25
502,John Nugent,D,1921,ID,Appointed to Wilson administration,1921-01-14
503,Warren Harding,R,1921,OH,Elected president,1921-01-13
504,Alvan Fuller,R,1921,MA,Elected Massachusetts lieutenant governor,1921-01-05
505,John MacCrate,R,1920,NY,Elected New York Supreme Court justice,1920-12-30
506,Thomas Heflin,D,1920,AL,To focus on his run for Senate,1920-11-01
507,Edmund Platt,R,1920,NY,Appointed to Federal Reserve,1920-06-07
508,Edward Saunders,D,1920,VA,Elected Virginia judge,1920-02-29
509,Hampton Moore,R,1920,PA,Elected Philadelphia mayor,1920-01-04
510,Reuben Haskell,R,1919,NY,Elected Kings County judge,1919-12-31
511,Fiorello La Guardia,R,1919,NY,Elected New York City Board of Aldermen president,1919-12-31
512,Joshua Alexander,D,1919,MO,Appointed to Wilson administration,1919-12-15
513,Edwin Webb,D,1919,NC,Appointed federal judge,1919-11-10
514,John F. Fitzgerald,D,1919,MA,His election was successfully contested & overturned,1919-10-23
515,Frank Lever,D,1919,SC,Appointed to Federal Farm Loan Board,1919-08-01
516,James Wilson,D,1919,TX,Appointed federal judge,1919-03-03
517,Charles Carlin,D,1919,VA,Returned to his law practice,1919-03-03
518,Zebulon Weaver,D,1919,NC,His election was successfully contested & overturned,1919-03-01
519,Harry Dale,D,1919,NY,Appointed New York judge,1919-01-06
520,John R.K. Scott,R,1919,PA,"Unclear, but sounds like he was elected to PA State House",1919-01-05
521,Frederick Mulkey,R,1918,OR,Resigned early to give successor seniority (was always meant as a caretaker),1918-12-17
522,Carter Glass,D,1918,VA,Appointed to Wilson administration,1918-12-16
523,Irvine Lenroot,R,1918,WI,Elected U.S. senator,1918-04-17
524,Murray Hulbert,D,1918,NY,Appointed director of Port of New York City,1918-01-01
525,John J. Fitzgerald,D,1917,NY,Resumed practicing law,1917-12-31
526,Daniel Griffin,D,1917,NY,Elected Kings County sheriff,1917-12-31
527,Henry Bruckner,D,1917,NY,Elected Bronx borough president,1917-12-31
528,William Adamson,D,1917,GA,Appointed federal judge,1917-12-18
529,Mark Bacon,R,1917,MI,His election was successfully contested & overturned,1917-12-13
530,Augustus Gardner,R,1917,MA,Joined the Army,1917-05-15
531,Orrin Bleakley,R,1917,PA,Convicted of spending too much money on his campaign,1917-04-03
532,James Hay,D,1916,VA,Appointed federal judge,1916-10-01
533,William Stephens,R,1916,CA,Appointed California lieutenant governor,1916-07-22
534,Joseph Johnson,D,1915,SC,Appointed federal judge,1915-04-19
535,Eugene Kinkead,D,1915,NJ,"Elected Hudson County sheriff, right to vote in House challenged",1915-02-04
536,Timothy Ansberry,D,1915,OH,Appointed Ohio judge,1915-01-09
537,Frank Willis,R,1915,OH,Elected Ohio governor,1915-01-09
538,Winfield Hammond,D,1915,MN,Elected Minnesota governor,1915-01-06
539,Denis O'Leary,D,1914,NY,Elected Queens district attorney,1914-12-31
540,Thomas Hardwick,D,1914,GA,To focus on his run for Senate,1914-11-02
541,Walter McCoy,D,1914,NJ,Appointed federal judge,1914-10-03
542,Harry Covington,D,1914,MD,Appointed federal judge,1914-09-30
543,William Murray,D,1914,MA,Appointed postmaster of Boston,1914-09-28
544,Andrew Peters,D,1914,MA,Appointed to Wilson administration,1914-08-15
545,William Sharp,D,1914,OH,Appointed to Wilson administration,1914-07-23
546,James McDermott,D,1914,IL,"Implicated in lobbying scandal, resigned to avoid expulsion ",1914-07-21
547,L.C. Dyer,R,1914,MO,His election was successfully contested & overturned,1914-06-19
548,Henry Clayton,D,1914,AL,Appointed federal judge,1914-05-25
549,James Michael Curley,D,1914,MA,Elected Boston mayor,1914-02-04
550,Francis Harrison,D,1913,NY,Appointed Philippines governor,1913-09-01
551,John W. Davis,D,1913,WV,Appointed to Wilson administration,1913-08-29
552,Olin Young,R,1913,MI,Turned out votes were miscounted & he didn't win election,1913-05-16
553,Albert Burleson,D,1913,TX,Appointed to Wilson administration,1913-03-06
554,John Weeks,R,1913,MA,Elected U.S. senator,1913-03-04
555,Morris Sheppard,D,1913,TX,Elected U.S. senator,1913-02-03
556,Joe T. Robinson,D,1913,AR,Elected Arkansas governor,1913-01-14
557,James Cox,D,1913,OH,Elected Ohio governor,1913-01-12
558,L.B. Hanna,R,1913,ND,Elected North Dakota governor,1913-01-07
560,Bill Sulzer,D,1912,NY,Elected New York governor,1912-12-31
561,Charles Bowman,R,1912,PA,His election was successfully contested & overturned,1912-12-12
562,William Hughes,D,1912,NJ,Appointed New Jersey judge,1912-09-27
563,Theron Catlin,R,1912,MO,His election was successfully contested & overturned,1912-08-12
564,William Lorimer,R,1912,IL,Election declared invalid,1912-07-13
565,Joseph Terrell,D,1911,GA,Had a stroke,1911-07-14
566,Walter Smith,R,1911,IA,Appointed federal judge,1911-03-15
567,Asle Gronna,R,1911,ND,Elected U.S. senator,1911-02-02
568,John Reynolds,R,1911,PA,Elected Pennsylvania lieutenant governor,1911-01-17
569,John Tener,R,1911,PA,Elected Pennsylvania governor,1911-01-16
570,Eugene Foss,D,1911,MA,Elected Massachusetts governor,1911-01-04
571,Gordon Russell,D,1910,TX,Appointed federal judge,1910-06-14
573,William Lorimer,R,1909,IL,Elected U.S. senator,1909-06-17
574,Theodore Burton,R,1909,OH,Elected U.S. senator,1909-03-04
575,Philander Knox,R,1909,PA,Appointed to Taft administration,1909-03-04
576,William Kitchin,D,1909,NC,Elected North Carolina governor,1909-01-11
577,George Lilley,R,1909,CT,Seat vacated when he became Connecticut governor,1909-01-06
578,Charles Brumm,R,1909,PA,Elected Pennsylvania judge,1909-01-04
579,Charles Littlefield,R,1908,ME,Returned to his law practice,1908-09-30
580,John Spooner,R,1907,WI,Resumed practicing law,1907-04-30
581,John Reyburn,R,1907,PA,Elected Philadelphia mayor,1907-03-31
582,William Alden Smith,R,1907,MI,Elected U.S. senator,1907-02-09
583,Charles Curtis,R,1907,KS,Elected U.S. senator,1907-01-28
584,John Little,D,1907,AR,Elected Arkansas governor,1907-01-14
585,Newton Gilbert,R,1906,IN,Appointed federal judge,1906-11-06
586,Malcolm Patterson,D,1906,TN,Elected Tennessee governor,1906-11-05
587,James Gillett,R,1906,CA,Elected California governor,1906-11-04
589,Ernest Wood,D,1906,MO,His election was successfully contested & overturned,1906-06-23
590,Joseph Burton,R,1906,KS,Convicted of corruption,1906-06-04
591,Claude Swanson,D,1906,VA,Elected Virginia governor,1906-01-30
592,Frank Brandegee,R,1905,CT,Elected U.S. senator,1905-05-10
593,Alston Dayton,R,1905,WV,Appointed federal judge,1905-03-16
594,Elmer Burkett,R,1905,NE,Elected U.S. senator,1905-03-04
595,Charles Fairbanks,R,1905,IN,Elected vice president,1905-03-03
596,James Hemenway,R,1905,IN,Elected U.S. senator,1905-03-03
597,Victor Metcalf,R,1904,CA,Appointed to Roosevelt administration,1904-07-01
598,William Lanning,R,1904,NJ,Appointed federal judge,1904-06-06
599,Charles Dick,R,1904,OH,Elected U.S. senator,1904-03-23
600,John Shafroth,D,1904,CO,Agreed that his opponent had rightfully won the election,1904-02-15
601,George Howell,D,1904,PA,His election was successfully contested & overturned,1904-02-10
602,George McClellan Jr.,D,1903,NY,Elected New York City mayor,1903-12-21
603,Thomas Ball,D,1903,TX,Resumed practicing law,1903-11-16
604,Joseph Gill,R,1903,OH,Ill health,1903-10-31
605,Chester Long,R,1903,KS,Elected U.S. senator,1903-03-04
606,Heisler Ball,R,1903,DE,Elected U.S. senator,1903-03-03
607,James Butler,D,1903,MO,His election was successfully contested & overturned,1903-02-26
608,S.W.T. Lanham,D,1903,TX,Elected Texas governor,1903-01-15
609,James Hall,D,1902,PA,Elected to PA State Senate,1902-11-29
610,George Ray,R,1902,NY,Appointed federal judge,1902-09-11
611,James Butler,D,1902,MO,Election declared invalid,1902-06-28
612,William Moody,R,1902,MA,Appointed to Roosevelt administration,1902-05-01
613,John Rhea,D,1902,KY,His election was successfully contested & overturned,1902-03-25
614,Nicholas Muller,D,1901,NY,Ill health,1901-11-22
