,Member,Party,Year,State,Reason,Resignation Date
205,Charles Gubser,R,1974,CA,Retired; probably resigned early to receive higher pension?,1974-12-31
206,Chet Holifield,D,1974,CA,Retired; probably resigned early to receive higher pension?,1974-12-31
207,Craig Hosmer,R,1974,CA,Retired; probably resigned early to receive higher pension?,1974-12-31
208,Richard Hanna,D,1974,CA,Retired; probably resigned early to receive higher pension?,1974-12-31
210,Leslie Arends,R,1974,IL,Retired; probably resigned early to receive higher pension?,1974-12-31
211,Ken Gray,D,1974,IL,Retired; probably resigned early to receive higher pension?,1974-12-31
212,Frank Stubblefield,D,1974,KY,Lost reelection; probably resigned early to receive higher pension?,1974-12-31
213,Harold Donohue,D,1974,MA,Retired; probably resigned early to receive higher pension?,1974-12-31
214,Charles Chamberlain,R,1974,MI,Retired; probably resigned early to receive higher pension?,1974-12-31
215,Martha Griffiths,D,1974,MI,Retired; probably resigned early to receive higher pension?,1974-12-31
216,Ancher Nelsen,R,1974,MN,Retired; probably resigned early to receive higher pension?,1974-12-31
217,John Blatnik,D,1974,MN,Retired; probably resigned early to receive higher pension?,1974-12-31
218,David Martin,R,1974,NE,Retired; probably resigned early to receive higher pension?,1974-12-31
220,Louis Wyman,R,1974,NH,Appointed U.S. senator,1974-12-31
221,William Widnall,R,1974,NJ,Lost reelection; probably resigned early to receive higher pension?,1974-12-31
222,John Rooney,D,1974,NY,Retired; probably resigned early to receive higher pension?,1974-12-31
223,Hugh Carey,D,1974,NY,Elected New York governor,1974-12-31
224,Carleton King,R,1974,NY,Lost reelection; probably resigned early to receive higher pension?,1974-12-31
225,Thaddeus Dulski,D,1974,NY,Retired; probably resigned early to receive higher pension?,1974-12-31
226,Sam Ervin,D,1974,NC,Retired; resigned early to receive higher pension,1974-12-31
227,William Minshall,R,1974,OH,Retired; probably resigned early to receive higher pension?,1974-12-31
228,Edith Green,D,1974,OR,Retired; probably resigned early to receive higher pension?,1974-12-31
229,Frank Clark,D,1974,PA,Lost reelection; probably resigned early to receive higher pension?,1974-12-31
230,W.J. Bryan Dorn,D,1974,SC,Retired; probably resigned early to receive higher pension?,1974-12-31
231,Tom Gettys,D,1974,SC,Retired; probably resigned early to receive higher pension?,1974-12-31
232,O.C. Fisher,D,1974,TX,Retired; probably resigned early to receive higher pension?,1974-12-31
233,Joel Broyhill,R,1974,VA,Lost reelection; probably resigned early to receive higher pension?,1974-12-31
234,Julia Butler Hansen,D,1974,WA,Retired; probably resigned early to receive higher pension?,1974-12-31
235,Vernon Thomson,R,1974,WI,Lost reelection; probably resigned early to receive higher pension?,1974-12-31
236,Glenn Davis,R,1974,WI,Lost reelection; probably resigned early to receive higher pension?,1974-12-31
237,Marlow Cook,R,1974,KY,Lost reelection bid; resigned to let successor start early,1974-12-27
238,Howard Metzenbaum,D,1974,OH,Appointment was expiring; resigned to let successor start early,1974-12-23
239,Wallace Bennett,R,1974,UT,Retired; resigned early to give successor seniority,1974-12-20
240,Alan Bible,D,1974,NV,Retired; resigned early to give successor seniority,1974-12-17
241,Bill Mailliard,R,1974,CA,Appointed to Nixon administration,1974-03-05
242,James Harvey,R,1974,MI,Appointed federal judge,1974-01-31
243,Bill Saxbe,R,1974,OH,Appointed to Nixon administration,1974-01-03
244,William Keating,R,1974,OH,Took a job with Cincinnati Enquirer,1974-01-03
245,Gerald Ford,R,1973,MI,Appointed vice president,1973-12-06
246,Elaine Edwards,D,1972,LA,Appointment was expiring; resigned to let successor start early,1972-11-13
247,Dick Poff,R,1972,VA,Appointed to Virginia Supreme Court,1972-08-29
248,Edwin Edwards,D,1972,LA,Elected Louisiana governor,1972-05-09
249,Bradford Morse,R,1972,MA,Took a job with United Nations,1972-05-01
250,Charlotte Reid,R,1971,IL,Appointed to Nixon administration,1971-10-07
251,Robert Stafford,R,1971,VT,Appointed U.S. senator,1971-09-16
252,Rogers Morton,R,1971,MD,Appointed to Nixon administration,1971-01-29
253,George Murphy,R,1971,CA,Lost reelection bid & left early; unclear why,1971-01-02
254,John Tunney,D,1971,CA,Appointed U.S. senator,1971-01-02
255,John Williams,R,1970,DE,Retired; resigned early to give successor seniority,1970-12-31
256,William Roth,R,1970,DE,Appointed U.S. senator,1970-12-31
257,Bill Cahill,R,1970,NJ,Elected New Jersey governor,1970-01-19
258,Charles Joelson,D,1969,NJ,Appointed New Jersey superior court judge,1969-09-04
259,Donald Rumsfeld,R,1969,IL,Appointed to Nixon administration,1969-05-25
260,James Battin,R,1969,MT,Appointed federal judge,1969-02-27
261,Ed Reinecke,R,1969,CA,Appointed California lieutenant governor,1969-01-21
262,Melvin Laird,R,1969,WI,Appointed to Nixon administration,1969-01-21
263,Paul Fino,R,1968,NY,Elected New York Supreme Court justice,1968-12-31
264,Edward Long,D,1968,MO,Lost reelection bid; resigned to let successor start early,1968-12-27
265,Thruston Morton,R,1968,KY,Retired; resigned early to give successor seniority,1968-12-16
266,John Bell Williams,D,1968,MS,Elected Mississippi governor,1968-01-16
267,Abraham Multer,D,1967,NY,Elected New York Supreme Court justice,1967-12-31
268,Ralph Rivers,D,1966,AK,Lost reelection; resigned early to receive higher pension,1966-12-30
269,Winfield Denton,D,1966,IN,Lost reelection; resigned early to receive higher pension,1966-12-30
